tagID,DiveNum,DiveStart (s since tag on),DiveStartTime (local),DiveEnd (s since tag on),DiveEndTime (local),Depth (m),Duration (s),NumBuzzDive,BuzzRateMinute,ForagingDuration (s),NumBuzzDescent,NumBuzzBottom,NumBuzzAscent,DayNight,NumSprints,MaxVelocity,TotalDurSprints,SprintsNumBuzzes,SprintsBuzzRatio,EchoExist,MinAltitude,BenthicNumBuzzes,BenthicBuzzRatio,DiveStateHMM,Category
gm08_143a,3,9509.64,5/22/2008 17:05,10427.56,5/22/2008 17:20,447.8503839,917.92,31,2.026320377,494.7481,2,27,2,day,7,3.521747001,82,12,0.387096774,1,1.2109375,26,0.838709677,3,Benthic
gm08_143a,4,10800.32,5/22/2008 17:26,11527.44,5/22/2008 17:38,474.4609925,727.12,16,1.320277258,293.0781373,1,14,1,day,2,3.693377445,26,2,0.125,1,1.6015625,14,0.875,3,Benthic
gm08_143b,4,5773.32,5/22/2008 19:52,6355.56,5/22/2008 20:01,399.4046487,582.24,6,0.618301731,231.0880725,1,3,2,day,0,NaN,NaN,NaN,NaN,1,14.94140625,1,0.166666667,2,Benthic
gm08_143b,6,10194.64,5/22/2008 21:05,10894.24,5/22/2008 21:17,174.3178982,699.6,3,0.25728988,354.8835219,0,1,2,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_143b,7,11155.2,5/22/2008 21:21,11873.48,5/22/2008 21:33,298.6026229,718.28,0,0,0,0,0,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_143b,8,12700.48,5/22/2008 21:47,13305.4,5/22/2008 21:57,319.1388596,604.92,2,0.198373339,22.57872071,0,2,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_143b,9,13452.2,5/22/2008 22:00,14196.2,5/22/2008 22:12,203.2875456,744,1,0.080645161,5.291141667,1,0,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151a,1,1221.76,5/30/2008 9:07,1941.6,5/30/2008 9:19,416.593926,719.84,7,0.583462992,231.2467812,0,5,2,day,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151a,2,2695.68,5/30/2008 9:31,3217.48,5/30/2008 9:40,158.4638401,521.8,0,0,0,0,0,0,day,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151b,1,30019.68,5/30/2008 21:34,30446.6,5/30/2008 21:41,235.8927164,426.92,1,0.140541553,8.306585485,0,1,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151b,3,32099.88,5/30/2008 22:09,32616.4,5/30/2008 22:17,295.0463362,516.52,1,0.116162007,2.874342087,0,1,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151b,6,40793.72,5/31/2008 0:34,41331.72,5/31/2008 0:42,269.3010211,538,0,0,0,0,0,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151b,8,42194.64,5/31/2008 0:57,42724.64,5/31/2008 1:06,167.9180455,530,0,0,0,0,0,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151b,9,43000.36,5/31/2008 1:10,43432.64,5/31/2008 1:17,148.9437467,432.28,2,0.277597853,144.5504794,0,2,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151b,11,44174.64,5/31/2008 1:30,44692.76,5/31/2008 1:38,348.240218,518.12,4,0.463213155,186.5377916,0,3,1,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151b,16,57809.36,5/31/2008 5:17,58657.8,5/31/2008 5:31,442.029705,848.44,4,0.282872095,299.7477042,0,4,0,night,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,2,Pelagic
gm08_151b,17,58911.6,5/31/2008 5:35,59770.48,5/31/2008 5:50,596.3403588,858.88,9,0.628725782,383.9732245,5,3,1,night,0,NaN,NaN,NaN,NaN,1,1.2109375,7,0.777777778,2,Benthic
gm10_185b,2,16867.56,7/04/2010 19:11,17695.24,7/04/2010 19:25,334.4347943,827.68,17,1.232360332,565.7853833,0,1,16,day,4,3.607678897,79,4,0.235294118,0,NaN,NaN,NaN,3,Pelagic
gm10_185b,3,17954.32,7/04/2010 19:30,18581.64,7/04/2010 19:40,414.0707494,627.32,5,0.478224829,298.2148129,0,2,3,day,5,3.409853665,63,3,0.6,1,10.29296875,1,0.2,2,Benthic
gm10_185b,4,18791.92,7/04/2010 19:43,19618.84,7/04/2010 19:57,340.4303392,826.92,22,1.596285009,562.8171427,19,2,1,day,10,3.94256735,217,13,0.590909091,1,5.48828125,3,0.136363636,3,Benthic
